stt,post_id,caption,topic,reason
1877,7.27E+18,S?ng vui h?n t?i New York,travel_tourism,#travel
1878,7.27E+18,Ch?p ?nh studio,lifestyle_daily,ch?p ?nh
1879,7.27E+18,G?c ?a nghiêng bóng ??u làng,music_dance,l?i nh?c
1880,7.27E+18,L?n ??u song ca Trung Quân Idol,music_dance,song ca
1881,7.27E+18,Truy?n Thái Y theo phong cách Flower,music_dance,cover
1882,7.27E+18,Sói ?en Ki?n Huy t?p 4,entertainment_humor,ch??ng trình TV
1883,7.27E+18,?ng h? bài m?i c?a ?ông Nhi,music_dance,bài m?i
1884,7.27E+18,L? th?t t?ch ???c t?ng chè ?ôi th?,food_drink,chè
1885,7.27E+18,Review c?m quê M??i Khó,food_drink,review quán
1886,7.27E+18,??i bàng Ki?n Huy t?p 3,entertainment_humor,ch??ng trình TV
1887,7.27E+18,Là là là N? th?n t? do,entertainment_humor,hài
1888,7.27E+18,Review nhà hàng t?i M?,food_drink,nhà hàng
1889,7.27E+18,Busking show t?i Saitama,music_dance,busking
1890,7.27E+18,?óng MV minh ho?,music_dance,MV
1891,7.27E+18,Hãy l?u l?i kho?nh kh?c c?a b?n,lifestyle_daily,kho?nh kh?c
1892,7.27E+18,Youtuber g?p nhau vui nh? tr?y h?i,entertainment_humor,hài
1893,7.27E+18,Ng?a v?n Ki?n Huy t?p 2,entertainment_humor,ch??ng trình TV
1894,7.27E+18,Luy?n t?p gym m?i lúc,sports_fitness,#gym
1895,7.27E+18,Khám phá Hell's Kitchen Las Vegas,food_drink,?m th?c
1896,7.27E+18,Bài m?i c?a má Chanh ?ang hit,music_dance,bài m?i
1897,7.27E+18,H?i ng? ?ông Nhi Noo t?i M?,music_dance,show di?n
1898,7.27E+18,Ngày quay ??u tiên mùa 2 2 Ngày 1 ?êm,entertainment_humor,ch??ng trình TV
1899,7.26E+18,N??ng burger t?i M?,food_drink,burger
1900,7.26E+18,2 Ngày 1 ?êm mùa 2 chính th?c quay tr? l?i,news_commentary,thông báo ch??ng trình
1901,7.26E+18,V? mi?n Tây nên cover #chimtrangmocoi #anhbakhia #lacahatca #ngokienhuy,music_dance,cover bài hát
1902,7.26E+18,"Nh? lòng mình tháng ngày qua, Yêu ???ng in sâu ?ành thôi xa l? #hoacuoi #mashup #lacahatca #ngokienhuy",music_dance,mashup
1903,7.26E+18,C? nhà có theo dõi t?p 1 mùa 2 và có d? ?oán cho riêng mình? #themaskedsingervietnam #casimatna,entertainment_humor,ch??ng trình TV
1904,7.26E+18,#CapCut khi ?ang quay vô tình có ?àn én l??n chao nghiêng #ngokienhuy,entertainment_humor,trend capcut
1905,7.26E+18,Check in c?n h? t?ng 66 cao nh?t c?a hotel #Crockfords thu?c #ResortsWorld m?i khai tr??ng n?m 2021 t?i #lasvegas #ngokienhuydaily #ngokienhuy #checkin,travel_tourism,check in khách s?n
1906,7.26E+18,?i Las Vegas ng??i ta th??ng ?i casino còn Huy ?i #spa th? giãn hihi #ngokienhuydaily #ngokienhuy #lasvegas,lifestyle_daily,?i spa th? giãn
1907,7.26E+18,Anh và em yêu nhau th?i tiktok tinder #ongbaanh #lacahatca @Jun Pham,music_dance,bài hát
1908,7.26E+18,Nghe nói ?ang trend,entertainment_humor,trend
1909,7.26E+18,T? ngày g?p em con tim ngân nga ...,music_dance,l?i bài hát
1910,7.26E+18,#CapCut ?ng h? Trung Quân Idol kkk,entertainment_humor,trend capcut
1911,7.26E+18,"Chàng trai v?i n? c??i to? n?ng, c? nhà nh? xem La Cà Hát Ca m?i tu?n ?ê g?p nhau nhé #lacahatca #ngokienhuy",entertainment_humor,ch??ng trình TV
1912,7.26E+18,#timesquarenewyork #ngokienhuy,travel_tourism,check in
1913,7.26E+18,B?p ?ã tr? thành ng??i ?n crawfish thu?n th?c #ngokienhuydaily #ngokienhuy #crawfish #raisingclaw #gardengrove,food_drink,?n u?ng
1914,7.26E+18,Th?m N? Th?n T? Do cùng B?p #ngokienhuydaily #ngokienhuy #nuthantudo #newyork,travel_tourism,du l?ch m?
1915,7.26E+18,Nghi Ng? sau 14 n?m và l?n ??u t?i n??c M? b?n song ca chính ch? @?ông Nhi #nghingo #show,music_dance,song ca
1916,7.26E+18,#CapCut anh @D??ng Tri?u V? r? rê tham gia trend #bartender,entertainment_humor,trend
1917,7.26E+18,L?n ??u song ca cùng anh @?ng Hoàng Phúc #lacahatca #vangtrangcodon #ngokienhuy,music_dance,song ca
1918,7.26E+18,"Tham quan Washington, D.C cùng h??ng d?n viên Myra Tran #ngokienhuydaily #ngokienhuy",travel_tourism,du l?ch
1919,7.25E+18,Di?n M? part 2 #ngokienhuydaily #ngokienhuy #show,music_dance,show di?n
1920,7.25E+18,Mi?n Cát Tr?ng #lacahatca #ngokienhuy,music_dance,bài hát
1921,7.25E+18,Di?n t?i M? part 1 #ngokienhuydaily #ngokienhuy #show,music_dance,show di?n
1922,7.25E+18,Huy 18 tu?i #lacahatca #ngokienhuy,lifestyle_daily,k? ni?m
1923,7.25E+18,Sinh nh?t b?t ng? trên tòa nhà 101 t?ng cao nh?t NewYork #TVLK #NGOKIENHUY #THODEN #HappyBirthdaytome #ngokienhuydaily P2,lifestyle_daily,sinh nh?t
1924,7.25E+18,Sinh nh?t b?t ng? trên tòa nhà 101 t?ng cao nh?t NewYork #TVLK #NGOKIENHUY #THODEN #HappyBirthdaytome #ngokienhuydaily P1,lifestyle_daily,sinh nh?t
1925,7.25E+18,???c Noo và ch? Hà H? chúc m?ng tu?i m?i cùng khán gi? Houston Texas #birthday #NgoKienHuy #NooPhuocThinh #HoNgocHa,lifestyle_daily,sinh nh?t
1926,7.25E+18,Oh wow fanclub tui ??t này m?ng sinh nh?t oách quá chi?u led chúc m?ng sinh nh?t B?p t?i nhi?u t?nh thành,lifestyle_daily,fan chúc m?ng
1927,7.25E+18,M?a bu?n r?i héo h?t th?t ch? #ngokienhuy #giavoyeu #lacahatca,music_dance,bài hát
1928,7.25E+18,#CapCut hit mình th? #tiktokgiaitri??,entertainment_humor,trend
1929,7.25E+18,B?t tình yêu lên #battinhyeulen,music_dance,bài hát
1930,7.25E+18,#CapCut t?i nay Ng??i ?y Là Ai #tiktokgiaitri,entertainment_humor,ch??ng trình TV
1931,7.25E+18,#CapCut th? thêm hi?u ?ng,entertainment_humor,trend capcut
1932,7.25E+18,Cùng B?p khám phá c?n villa 3 phòng ng? t?i #anlamretreatsninhvanbay #ngokienhuydaily #ngokienhuy #checkin,travel_tourism,check in resort
1933,7.25E+18,Cùng Huy khám phá c?n penthouse c?a #sheratonnhatranghotelspa #ngokienhuydaily #ngokienhuy #penthouse #review,travel_tourism,review khách s?n
1934,7.24E+18,Th? ?en ??,entertainment_humor,vui v?
1935,7.24E+18,Leo lên ??nh và s?n sàng hòa mình vào v? ??p c?a thiên nhiên #ngokienhuydaily #anlamretreatsninhvanbay,travel_tourism,du l?ch thiên nhiên
1936,7.24E+18,Làm video này cho tháng c?a #tuhaodasac #foryourpride #tiktokgiaitri #ngokienhuy,entertainment_humor,ch? ?? c?ng ??ng
1937,7.24E+18,Màu nào h?p v?i B?p? #tiktokgiaitri,entertainment_humor,t??ng tác fan
1938,7.24E+18,#FoodFestOnTikTok món mì huy?n tho?i ? Thái Lan #bangkok #ngokienhuydaily,food_drink,?m th?c
1939,7.24E+18,Theo chân Huy ??n ?êm di?n b? m?c festival bi?n Nha Trang 2023 #ngokienhuydaily,music_dance,show di?n
1940,7.24E+18,#tiktokgiaitri,entertainment_humor,n?i dung gi?i trí
1941,7.24E+18,Ngày hôm ?y em ?i trong m?a...h?p ghê #tiktokgiaitri,music_dance,l?i bài hát
1942,7.24E+18,"Mùa hoa ph??ng n? c?ng là mùa chia tay, chia tay th?i th? m?ng",lifestyle_daily,chia s? c?m xúc
1943,7.24E+18,T?p ch?i trend hihi #usa #tiktokgiaitri,entertainment_humor,trend
1944,7.24E+18,Mlem mlem #fitness #ngokienhuy,sports_fitness,fitness
1945,7.24E+18,#DiSanVietNam tham gia trend này m?t chút,entertainment_humor,trend
1946,7.24E+18,Ngô Ki?n Huy qua ?ng kính team qua ???ng #ngokienhuy,lifestyle_daily,??i th??ng
1947,7.23E+18,"Còn m?i ng??i ngh? sao v? Huy, video fan edit khi?n r?ng r?ng",lifestyle_daily,chia s? c?m xúc
1948,7.23E+18,Hôm nay ngh?ch #capcut m?t tí,entertainment_humor,trend capcut
1949,7.23E+18,Th? trend m?i hihi,entertainment_humor,trend
1950,7.23E+18,Ch?t nh? ngày này 2 n?m tr??c bão m?ng v?i ?nh CCCD #ngokienhuy,entertainment_humor,k? ni?m viral
1951,7.22E+18,M? Tâm ??nh ??nh ??nh #nguoigiuthoigian #mytam,music_dance,khen ngh? s?
1952,7.22E+18,The Bunny Qu?n 2 chào ?ón c? nhà iu d?u #thebunnycoffee #khaitruong,food_drink,khai tr??ng
1953,7.22E+18,Tình là tình nhi?u khi không mà có #tinhconhukhong,music_dance,bài hát
1954,7.22E+18,Bà ch? Kh? Nh? làm ca s? x?n xò quá nè #tuyetdinhsongcanhi,music_dance,ch??ng trình âm nh?c
1955,7.21E+18,L?n ??u Ngô Ki?n Huy hát show lô tô r?t vui nhê,music_dance,show di?n
1956,7.21E+18,??ng lo chúng tôi s? tr? l?i th?t s?m thôi #2ngay1dem,entertainment_humor,ch??ng trình TV
1957,7.20E+18,Khi Huy giúp ??ng ??i ?oán bài Cua,entertainment_humor,trò ch?i
1958,7.20E+18,"Áp d?ng, thích nghi và c?i ti?n #ngokienhuy",lifestyle_daily,chia s? quan ?i?m
1959,7.20E+18,"R?t v?t v? ?? có ch? ng? ??y c? nhà ?i, t?p 28 t?i qua #2Ngay1Dem",entertainment_humor,ch??ng trình TV
1960,7.19E+18,C?n ác m?ng mang tên #tauluonsieutoc #2ngay1demvietnam,entertainment_humor,ch??ng trình TV
1961,7.19E+18,Gi? lúc nhìn l?i xem 1 n?m ?ã tr?i qua #ngokienhuy,lifestyle_daily,t?ng k?t n?m
1962,7.19E+18,Chuy?n c? mình b? qua ?ón n?m m?i nhé #TetMaiMan,music_dance,nh?c t?t
1963,7.19E+18,T?t t?t t?t t?t ??n r?i #ngaytetqueem,music_dance,nh?c t?t
1964,7.19E+18,Gi? v? yêu phiên b?n 2 Ngày 1 ?êm #giavoyeu,music_dance,bài hát
1965,7.19E+18,R?n ràng ngày xuân muôn hoa khoe s?c #galanhacviet,music_dance,gala nh?c vi?t
1966,7.19E+18,Xuân ?ã v? #xuanhopmat #ngokienhuy,music_dance,nh?c xuân
1967,7.19E+18,Mùa xuân ?ã ??n cho ??i xanh t??i hi v?ng #nhacxuan,music_dance,nh?c xuân
1968,7.19E+18,Ng??i ? l?i có ch?c s? bu?n #saoembietnguoiroidikhongbuon,music_dance,live stage
1969,7.19E+18,Tham gia ngay th? thách #CaiTetGiau v?i th? l? ??n gi?n,news_commentary,ch??ng trình khuy?n mãi
1970,7.18E+18,B?n có 45s ?? chia s? v? m?t m?i tình sau khi nghe ca khúc,music_dance,minigame âm nh?c
1971,7.18E+18,Review phòng Presidential Suite t?i #sheratoncantho,travel_tourism,review khách s?n
1972,7.18E+18,Cô bé d?n lòng ph?i c?m ?n ca khúc #saoembietnguoiroidikhongbuon,music_dance,chia s? c?m xúc
1973,7.18E+18,Hy v?ng sau này ch? nh? v? nhau trong k? ?c ??p #saoembietnguoiroidikhongbuon,music_dance,b?n lofi
1974,7.18E+18,Lan Ng?c reaction mv #saoembietnguoiroidikhongbuon,entertainment_humor,reaction
1975,7.18E+18,Gi?i tr? gi? ... h? h?t r?i,entertainment_humor,hài h??c
1976,7.18E+18,Ê kíp vui vì mv c?m xúc ???c ?ng h? #saoembietnguoiroidikhongbuon,music_dance,h?u tr??ng MV
1977,7.18E+18,Nh?ng chia s? sau khi xem #saoembietnguoiroidikhongbuon,music_dance,c?m nh?n ngh? s?
1978,7.18E+18,N?u sau này không th? h?nh phúc cùng nhau thì hãy vì nhau mà s?ng h?nh phúc,music_dance,thông ?i?p bài hát
1979,7.18E+18,C?m xúc c?a ngh? s? khi xem #saoembietnguoiroidikhongbuon,music_dance,ph?n h?i ngh? s?
1980,7.18E+18,V?y là ngày mai hai ta xu?t phát t? con s? 0 #saoembietnguoiroidikhongbuon,music_dance,l?i bài hát
1981,7.18E+18,Ch? là m?t trong hai ta ?ã h?t c?m xúc v?i nhau #teaser,music_dance,teaser MV
1982,7.18E+18,Nh?c s? V? Huy Hoàng chia s? v? ca khúc m?i #saoembietnguoiroidikhongbuon,music_dance,chia s? nh?c s?
1983,7.18E+18,B?t mí v? ca khúc m?i s? ra m?t 16-12 #saoembietnguoiroidikhongbuon,music_dance,thông báo phát hành
1984,7.18E+18,B?t ng? ch?a bà già #themaskedsingervietnam #concert,music_dance,concert
1985,7.17E+18,???,lifestyle_daily,c?m xúc
1986,7.17E+18,Tr?i m?a tr?i gió không làm khó anh em chúng tôi,lifestyle_daily,??i th??ng
1987,7.17E+18,Background mv T?t C? ??ng Im ???c set up ??c bi?t,music_dance,h?u tr??ng MV
1988,7.17E+18,Drop cháy th? này có nhóm nh?y nào dance cover #tatcadungim,music_dance,dance cover
1989,7.17E+18,Nhóm nh?c RADE #tatcadungim,music_dance,gi?i thi?u nhóm nh?c
1990,7.17E+18,Lâu lâu T?t C? ??ng Im cùng m?y ??a nh?,music_dance,behind the scenes
1991,7.17E+18,L? do h?p tác c?a 2 anh em #tatcadungim,music_dance,h?p tác ngh? s?
1992,7.17E+18,Khi 1 nam 1 n? tham gia trend #tatcadungim,entertainment_humor,trend
1993,7.17E+18,Chi Dân quá nhi?t tình ?ng h? trend #tatcadungim,entertainment_humor,trend
1994,7.17E+18,R? Cris và T?ng Phúc t?o trend #tatcadungim,entertainment_humor,trend
1995,7.17E+18,??i m?t kh?u ?i?n tho?i... #tatcadungim,music_dance,l?i bài hát
1996,7.17E+18,T? ch?c cu?c thi sáng t?o n?i dung cùng bài hát T?t C? ??ng Im,news_commentary,minigame
1997,7.17E+18,T?t c? ??ng im không ???c nhúc nhích #tatcadungim,music_dance,trình di?n
1998,7.17E+18,Cùng Huy t?o trend m?i nhé #tatcadungim,entertainment_humor,trend
1999,7.12E+18,Khi Ngô Ki?n Huy và Hi?uthuhai k?t h?p #2Ngay1Dem,entertainment_humor,ch??ng trình TV
2000,7.12E+18,Hè ??n r?i c? nhà mình ?i #ngokienhuy #banyantreelangco,travel_tourism,du l?ch ngh? d??ng
2001,7.17E+18,Ph?n ?ng c?a anh già @Tr??ng Giang và bà ch? @Kh? Nh? Tr?n?????? khi ???c xem tr??c #tatcadungim #reation,entertainment_humor,ph?n ?ng
2002,7.13E+18,Có ai mu?n ???c anh #truonggiang mát xa th? giãn không nh?,entertainment_humor,tình hu?ng vui
2003,7.12E+18,"Ti?c sinh nh?t lãng m?n trên bi?n ??t r?i ???c #banyantreelangco t? ch?c cho #ngokienhuy, c? nhà xem th? nhé",travel_tourism,sinh nh?t trên bi?n
2004,7.17E+18,T?t C? ??ng Im - Ngô Ki?n Huy ft HIEUTHUHAI x ?inh Hà Uyên Th? x TDK - Teaser MV #tatcadungim #teasermv,music_dance,teaser MV
2005,7.17E+18,"?ã nói v? ??o di?n, v? hình ?nh, v? âm nh?c, v? v? ??o... #tatcadungim",music_dance,MV âm nh?c
2006,7.16E+18,Khách m?i @Lê D??ng B?o Lâm ?òi mang ca khúc #tatcadungim ?i di?n và d? ?oán #top1trending #ngokienhuy,music_dance,ca khúc
2007,7.17E+18,C? nhà ?ng h? #tatcadungim c?a Huy và #hieuthuhai nhé #ngokienhuy,music_dance,?ng h? bài hát
2008,7.16E+18,Khách m?i @CrisDevilGamer ?òi #ngokienhuy mua xe t?ng n?u #tatcadungim #top1trending,entertainment_humor,tình hu?ng vui
2009,7.16E+18,M?i ngày 1 b?t mí- producer TDK s? ??m nh?n vai trò hoà âm ph?i khí... #tcdi,music_dance,producer
2010,7.16E+18,M?i ngày 1 b?t mí ?inh Hà Uyên Th? ??o di?n c?a Truy?n Thái Y s? là ??o di?n c?a #TC?I,music_dance,??o di?n MV
2011,7.26E+18,Vì mai ng??i ta ?ã ?i l?y ch?ng #ngaymainguoitalaychong #ngokienhuy,music_dance,l?i bài hát
2012,7.16E+18,Sao b?y lâu b?o mu?n m?i anh trao ng?t ngào #lumotamtri #ngokienhuy,music_dance,l?i nh?c
2013,7.16E+18,Halloween hoá giang h? #ngokienhuy #giangho,entertainment_humor,hóa trang
2014,7.16E+18,Cùng B?p tr?i nghi?m #yokoonsenquanghanh,travel_tourism,tr?i nghi?m ?i?m ??n
2015,7.16E+18,Ngôi nhà hoa h?ng remix #ngoinhahoahong #ngokienhuy #hoaminzy,music_dance,remix
2016,7.16E+18,Tâm trí lu m? b?i n?i ?au không ng?ng nh? #lumotamtri #ngokienhuy,music_dance,l?i nh?c
2017,7.16E+18,M?i ngày 1 b?t mí #tcdi s? là m?t mv dance và biên ??o là b?n #redcat,music_dance,MV dance
2018,7.16E+18,"M?y ai ng? ch? l??ng, yêu m?c bao gió s??ng... #lumotamtri",music_dance,l?i bài hát
2019,7.15E+18,The Masked Singer Vi?t Nam - Ca S? M?t N? #casimatna,entertainment_humor,ch??ng trình TV
2020,7.15E+18,N?m nay Huy c?ng ?i khai gi?ng nhé hehe... #khaigiang,lifestyle_daily,khai gi?ng
2021,7.14E+18,Em hay ra z? quá ah :)) #leduongbaolam #ngokienhuy,entertainment_humor,t?u hài
2022,7.13E+18,Có 1 #NgoKienHuy luôn ?a-zi-n?ng và tràn ??y n?ng l??ng,lifestyle_daily,chia s? cá nhân
2023,7.12E+18,Khi chúng tôi ch?i trò giành gh? trong ch??ng trình 2 Ngày 1 ?êm,entertainment_humor,trò ch?i
2024,7.12E+18,Sau 33 n?m l?n ??u ???c làm sinh nh?t b?t ng?... #sinhnhatbatngo,lifestyle_daily,sinh nh?t
2025,7.11E+18,Th?n xui ti?p t?c theo B?p vào ch??ng trình 2 Ngày 1 ?êm #2ngay1dem,entertainment_humor,ch??ng trình TV
2026,7.10E+18,Truy?n nàng shin...c? nhà xem mv m?i c?a B?p trên kênh youtube nhé,music_dance,MV m?i
2027,7.09E+18,C? nhà còn nh? hit b? ??u tiên #giavoyeu không,music_dance,hit c?
2028,7.08E+18,Chiêm ng??ng b?c t??ng ph?t kh?ng l? cao nh?t BangKok cùng Huy,travel_tourism,??a danh Bangkok
2029,7.08E+18,Tr?i nghi?m ?n t?i t?i nhà hàng là thân máy bay kh?ng l? #bangkok,food_drink,tr?i nghi?m ?n u?ng
2030,7.08E+18,Cùng Huy khám phá #ayuthaya c? ?ô c?a Thái cách Bangkok kho?ng 80km,travel_tourism,khám phá ??a danh
2031,7.08E+18,B?p tr? tài b?n súng t?i Ph??ng Hoàng C? Tr?n và cái k?t ??,travel_tourism,??a ?i?m du l?ch
2032,7.06E+18,Chuy?n tình c?m k?t thúc th? ??y... #saunayneucoyeuai,music_dance,l?i nh?c
2033,7.06E+18,H?c n?a và h?c mãi tình yêu c?a ng??i không yêu mình #saunayneucoyeuai,music_dance,l?i bài hát
2034,7.06E+18,Chúc c? nhà n?m m?i luôn bình an khoe nhau ?ua s?c và thành công,lifestyle_daily,chúc n?m m?i
2035,7.06E+18,#lammoitoingoikhong #ngokienhuyfthoangthuylinh,music_dance,ca khúc
2036,7.06E+18,N?m th? 5 có mai vàng ?n T?T... #maivang,lifestyle_daily,gi?i th??ng
2037,7.06E+18,B?n ngh? sao v? nhóm nh?c Huy Jun Phát?,entertainment_humor,bàn lu?n
2038,7.05E+18,Ai còn nh? ông hoàng khiêu v? 2013 không nh? #buocnhayhoanvu,music_dance,khiêu v?
2039,7.05E+18,"Bên nhau ta chinh ph?c th? gi?i, dù bao nh?c nh?n ta v?n m?m c??i",music_dance,l?i nh?c
2040,7.05E+18,Còn ?ây là team qua ???ng có tâm g?i clip cho B?p #teamquaduong,entertainment_humor,tình hu?ng vui
2041,7.05E+18,"?? hô bi?n thành m?t Jessica hoàn h?o, Huy ?ã ph?i n? l?c ép cân xu?ng 10kg",sports_fitness,gi?m cân
2042,7.05E+18,D?u ?n mang tên Th? ?en #runningmanvietnammua2,entertainment_humor,ch??ng trình TV
2043,7.05E+18,Nàng xuân ?ã ??n ?ây cho tình chan ch?a v?i ??y!!! #nangxuanremix,music_dance,remix
2044,7.05E+18,Có ai còn nh? ti?t m?c gây s?t #?nGi?iC?u?âyR?i n?m ?ó,entertainment_humor,hài k?ch
2045,7.05E+18,Tr?m s?c c?m xúc #LetsFunON 9PM 28.12.2021,entertainment_humor,show gi?i trí
2046,7.05E+18,C? theo ?u?i ??c m? và thành công s? theo ?u?i b?n #truyencamhung,education_howto,truy?n c?m h?ng
2047,7.05E+18,K? ni?m 2 n?m ra m?t b?n audio song ca ca khúc #muonmotlanthattinh,music_dance,song ca
2048,7.05E+18,C? b?u tr?i tu?i th? nè c? nhà... ch??ng trình Cao th? ??u nh?c,music_dance,ch??ng trình nh?c
2049,7.04E+18,Giáng sinh này ta nh? giáng sinh x?a #saigongiangsinh,lifestyle_daily,giáng sinh
2050,7.04E+18,Vì có khi là tôi mang bao yêu th??ng ??n cho m?i ng??i #ngokienhuylatoi,lifestyle_daily,chia s? c?m xúc
2051,7.04E+18,L?c gi?a nhân gian mix ?? V??ng c?ng h?p ph?t ??,music_dance,mix nh?c
2052,7.04E+18,Sau Này Có Yêu Ai phiên b?n song ca nam n? thì th? nào nh?,music_dance,song ca
2053,7.16E+18,??ng gi?a hai ng? ???ng em nói mu?n hai ??a ng?ng th??ng... #lumotamtri,music_dance,l?i bài hát
2054,7.16E+18,C?m ngh? v? t?ng thành viên c?a #2ngay1dem,lifestyle_daily,chia s? c?m ngh?
2055,7.14E+18,Sinh nh?t ??y sóng gió nh?ng ?áng nh? trong #2ngay1dem,lifestyle_daily,sinh nh?t
2056,7.03E+18,N?u nh? mai này ngoài kia th? gi?i ai có c?n ng?n tình yêu chúng ta #chonglaithegioi,music_dance,l?i nh?c
2057,7.03E+18,Ok ok #ngokienhuy #junpham #lienbinhphat,entertainment_humor,tình hu?ng vui
2058,7.03E+18,N?u nh? mai này cu?c ??i bu?n chán thì mình hãy c?m tay ch?y kh?p th? gian,music_dance,l?i bài hát
2059,7.03E+18,Mùi h??ng anh n?ng say @junpham2407,music_dance,l?i nh?c
2060,7.03E+18,Khi nhóm b?n ?i ?n mà không ai giành tr? ti?n... #runningmanvietnammua2,entertainment_humor,tình hu?ng hài
2061,7.04E+18,Ni?m tin chi?n th?ng c?a Th? ?en #runningman,music_dance,nh?c n?n
2062,7.04E+18,#snncya,music_dance,hashtag bài hát
2063,7.04E+18,H?c n?a và h?c mãi... tình yêu c?a ng??i không yêu mình #saunayneucoyeuai,music_dance,l?i nh?c
2064,7.04E+18,#chonglaithegioi l?n ??u lên sân kh?u #ngokienhuy,music_dance,lên sân kh?u
2065,7.04E+18,Dù anh r?t t?t nh?ng th?t ?áng ti?c em không c?n anh #saunayneucoyeuai,music_dance,l?i bài hát
2066,7.04E+18,?ây là ca khúc ??u tiên giúp Huy ???c khán gi? bi?t t?i #muasaobang,music_dance,ca khúc
2067,7.04E+18,N?u mai này ???ng ??i sóng gió thì mình hãy cùng nhau b??c qua,music_dance,l?i nh?c
2068,7.04E+18,Chuy?n tình c?m k?t thúc th? ??y... #saunayneucoyeuai,music_dance,l?i nh?c
2069,7.04E+18,Ch?ng L?i Th? Gi?i ?ang vào trend... dance cover,music_dance,dance cover
2070,7.04E+18,Truy?n Thái Y trong liveshow Truy?n Thái Y #truyenthaiy,music_dance,liveshow
2071,7.03E+18,B?p s? ch?ng l?i th? gi?i vì nh?ng ng??i dance cover cùng mình,music_dance,dance cover
2072,7.03E+18,T?p 10 ch?ng l?i th? gi?i nè c? nhà ?i #chonglaithegioi,music_dance,series nh?c
2073,7.04E+18,biên ??o:CLTG ... ?i?u nh?y hot trend ... dance cover,music_dance,biên ??o
2074,7.03E+18,Bao nhiêu b?n thu?c ca khúc #giavoyeu c?a Huy nào,music_dance,ca khúc
2075,7.03E+18,Nupakachi phiên b?n Th? ?en và Th? tr?ng,music_dance,phiên b?n nh?c
2076,7.03E+18,Nghi ng? version không th? g?n h?n c?a #ngokienhuy,music_dance,version m?i
2077,7.03E+18,Nghi Ng? newversion b?n ?ã nghe ch?a? #nghingo,music_dance,new version
2078,7.03E+18,Có ai mu?n cùng Huy #chonglaithegioi nh? xem ??n cu?i clip,music_dance,dance trend
2079,7.03E+18,Bí m?t c?a h?nh phúc version m?i c?ng r?t yêu nhé,music_dance,version m?i
2080,7.03E+18,Ch?c ai ?ó s? v?... khi hát ca khúc này,music_dance,hát ca khúc
2081,7.03E+18,Truy?n Thái Y version th? ?en và th? tr?ng l?n ??u,music_dance,version nh?c
2082,7.03E+18,Cùng Huy tham gia OKA Challenge ???c t? ch?c b?i Traveloka Vi?t Nam,business_marketing,challenge th??ng hi?u
2083,7.03E+18,??i anh m?t chút nhé... #chonglaithegioi,music_dance,l?i bài hát
2084,7.16E+18,??ng gi?a hai ng? ???ng em nói mu?n hai ??a ng?ng th??ng...,music_dance,l?i nh?c
2085,7.03E+18,Mày mò th? ...c? nhà ?ã thu?c #chonglaithegioi h?t ch?a ?,music_dance,trend nh?c
2086,7.16E+18,?ng h? #uemxinloi #hoangyenchibi #ngokienhuy,music_dance,?ng h? bài hát
2087,6.86E+18,#selfiecamxuc  M?i ng??i thích Huy làm c?m xúc gì nh?t ?? ??,entertainment_humor,trào l?u
2088,6.88E+18,D?ng l?i hay c? g?ng ?? ti?p t?c vì gi? ?ây con tim ?ã ?? g?c,music_dance,l?i nh?c
2089,7.02E+18,Ai r?i c?ng s? tìm ???c ?m êm sau kh? ?au... Version tam ca,music_dance,tam ca
2090,6.88E+18,Có ai th??ng Huy không #changthegiulaychangdanhbuongtay,entertainment_humor,câu h?i vui
2091,7.03E+18,L?n ??u 4 anh em quay tiktok chung ??????,entertainment_humor,tình hu?ng hài
2092,7.02E+18,Mashup L?i c?a anh - ??ng ch? anh n?a ft T?ng Phúc,music_dance,mashup
2093,6.99E+18,T?p th? d?c hoy ! Yuumi v?n ch?a hi?u nó v?a làm gì ??????,entertainment_humor,hài h??c
2094,6.99E+18,Ly cà phê hôm nay sao ??ng h?n... #changthegiulaychangdanhbuongtay,music_dance,l?i nh?c
2095,6.97E+18,N?u trên ??i này có th? gì ?ó g?i là hoàn h?o... mì tôm,entertainment_humor,meme
2096,6.92E+18,Tr? Bát Gi?i bi?n ra bàn ?n mlem quá nè c? nhà #72phepthanthong,entertainment_humor,tình hu?ng vui
2097,6.93E+18,??ng vô l? gi?n h?n khi?n tình yêu b?t th??ng #quaylailaiyeu,music_dance,l?i nh?c
2098,6.94E+18,Còn yêu nhau sao không quay l?i l?i h?i làm sao ?? tim h?t ?au,music_dance,l?i bài hát
2099,6.94E+18,Ch? là dòng tin nh?n nh?t th?i ch? không ph?i em ?ang nh? anh ah,music_dance,l?i nh?c
2100,6.92E+18,N?u có 72 Phép Th?n Thông b?n s? ch?n phép gì?,entertainment_humor,câu h?i vui
2101,6.92E+18,72 Phép Th?n Thông qua gi?ng ca cover c?a @lyty1910 #72phepthanthong #ngokienhuy #72phepthanthong #72phepthanthongcover,music_dance,cover bài hát
2102,6.92E+18,"72 Phép Th?n Thông on GalaNhacViet2021, c? nhà cùng th?c hi?n trend này v?i Huy nha #72phepthanthong",music_dance,trend nh?y
2103,6.88E+18,"Tình yêu ta v?n d? ch?ng có t?i, ch? v? con tim luôn mu?n chia ?ôi. Ch?ng th? gi? l?y, ch?ng ?ành buông tay. Mv ?ã ra m?t, c? nhà ?ã th??ng th?c ch?a?",music_dance,ra m?t MV
